,close,datetime,high,low,open,volume
140,177.04,1516687200000,179.44,176.82,177.3,32689146
141,174.22,1516773600000,177.3,173.2,177.25,51105090
142,171.11,1516860000000,174.95,170.53,174.505,41529004
143,171.51,1516946400000,172.0,170.06,172.0,39143011
144,167.96,1517205600000,170.16,167.07,170.16,50640406
145,166.97,1517292000000,167.37,164.7,165.525,46048185
146,167.43,1517378400000,168.4417,166.5,166.87,32478930
147,167.78,1517464800000,168.62,166.76,167.165,47230787
148,160.5,1517551200000,166.8,160.1,166.0,86593825
149,156.49,1517810400000,163.88,156.0,159.1,72738522
150,163.03,1517896800000,163.72,154.0,154.83,68243838
151,159.54,1517983200000,163.4,159.0685,163.085,51608580
152,155.15,1518069600000,161.0,155.03,160.29,54390516
153,156.41,1518156000000,157.89,150.24,157.07,70672608
154,162.71,1518415200000,163.89,157.51,158.5,60819539
155,164.34,1518501600000,164.75,161.65,161.95,32549163
156,167.37,1518588000000,167.54,162.88,163.045,40644933
157,172.99,1518674400000,173.09,169.0,169.79,51147171
158,172.43,1518760800000,174.82,171.77,172.36,40176091
159,171.85,1519106400000,174.26,171.42,172.05,33930540
160,171.07,1519192800000,174.12,171.01,172.83,37471623
161,172.5,1519279200000,173.95,171.71,171.8,30991940
162,175.5,1519365600000,175.65,173.54,173.67,33812360
163,178.97,1519624800000,179.39,176.21,176.35,38162174
164,178.39,1519711200000,180.48,178.16,179.1,38928125
165,178.12,1519797600000,180.615,178.05,179.26,37782138
166,175.0,1519884000000,179.775,172.66,178.54,48801970
167,176.21,1519970400000,176.3,172.45,172.8,38453950
168,176.82,1520229600000,177.74,174.52,175.21,28401366
169,176.67,1520316000000,178.25,176.13,177.91,23788506
170,175.03,1520402400000,175.85,174.27,174.94,31703462
171,176.94,1520488800000,177.12,175.07,175.48,23774107
172,179.98,1520575200000,180.0,177.39,177.96,32185162
173,181.72,1520830800000,182.39,180.21,180.29,32207081
174,179.97,1520917200000,183.5,179.24,182.59,31693529
175,178.44,1521003600000,180.52,177.81,180.32,29368356
176,178.65,1521090000000,180.24,178.0701,178.5,22743798
177,178.02,1521176400000,179.12,177.62,178.65,39404688
178,175.3,1521435600000,177.47,173.66,177.32,33446771
179,175.24,1521522000000,176.8,174.94,175.24,19649350
180,171.27,1521608400000,175.09,171.26,175.04,37054935
181,168.85,1521694800000,172.68,168.6,170.0,41490767
182,164.94,1521781200000,169.92,164.94,168.39,41028784
183,172.77,1522040400000,173.1,166.44,168.07,37541236
184,168.34,1522126800000,175.15,166.92,173.68,40922579
185,166.48,1522213200000,170.02,165.19,167.25,41668545
186,167.78,1522299600000,171.75,166.9,167.805,38398505
187,166.68,1522645200000,168.94,164.47,167.88,37586791
188,168.39,1522731600000,168.7455,164.88,167.64,30278046
189,171.61,1522818000000,172.01,164.77,164.88,34605489
190,172.8,1522904400000,174.2304,172.08,172.58,26933197
191,168.38,1522990800000,172.48,168.2,170.97,35005290
192,170.05,1523250000000,173.09,169.845,169.88,29017718
193,173.25,1523336400000,174.0,171.53,173.0,28614241
194,172.44,1523422800000,173.9232,171.7,172.23,22431640
195,174.14,1523509200000,175.0,173.04,173.41,22889285
196,174.73,1523595600000,175.84,173.85,174.78,25124255
197,175.82,1523854800000,176.19,174.8301,175.0301,21578420
198,178.24,1523941200000,178.9365,176.41,176.49,26605442
199,177.84,1524027600000,178.82,176.88,177.81,20754538
200,172.8,1524114000000,175.39,172.66,174.95,34808800
201,165.72,1524200400000,171.2184,165.43,170.595,65491140
202,165.24,1524459600000,166.92,164.09,166.8348,36515477
203,162.94,1524546000000,166.33,161.2201,165.67,33692017
204,163.65,1524632400000,165.42,162.41,162.62,28382084
205,164.22,1524718800000,165.73,163.37,164.12,27963014
206,162.32,1524805200000,164.33,160.63,164.0,35655839
207,165.26,1525064400000,167.26,161.84,162.1302,42427424
208,169.1,1525150800000,169.2,165.27,166.4102,53569376
209,176.57,1525237200000,177.75,173.8,175.225,66539371
210,176.89,1525323600000,177.5,174.4411,175.88,34068180
211,183.83,1525410000000,184.25,178.17,178.25,56201317
212,185.16,1525669200000,187.67,184.75,185.18,42451423
213,186.05,1525755600000,186.22,183.665,184.99,28402777
214,187.36,1525842000000,187.4,185.22,186.55,23211241
215,190.04,1525928400000,190.37,187.65,187.74,27989289
216,188.59,1526014800000,190.06,187.45,189.49,26212221
217,188.15,1526274000000,189.53,187.86,189.01,20778772
218,186.44,1526360400000,187.07,185.1,186.78,23695159
219,188.18,1526446800000,188.46,186.0,186.07,19183064
220,186.99,1526533200000,188.91,186.36,188.0,17294029
221,186.31,1526619600000,187.8102,186.13,187.19,18297728
222,187.63,1526878800000,189.27,186.9106,188.0,18400787
223,187.16,1526965200000,188.88,186.78,188.375,15240704
224,188.36,1527051600000,188.5,185.76,186.35,20058415
225,188.15,1527138000000,188.84,186.21,188.77,23233975
226,188.58,1527224400000,189.65,187.65,188.23,17460963
227,187.9,1527570000000,188.75,186.87,187.6,22514075
228,187.5,1527656400000,188.0,186.78,187.72,18690547
229,186.87,1527742800000,188.23,186.14,187.22,27482793
230,190.24,1527829200000,190.26,187.75,187.9912,23442510
231,191.83,1528088400000,193.42,191.35,191.635,26266174
232,193.31,1528174800000,193.94,192.36,193.065,21565963
233,193.98,1528261200000,194.08,191.92,193.63,20933619
234,193.46,1528347600000,194.2,192.335,194.14,21347180
235,191.7,1528434000000,192.0,189.77,191.17,26656799
236,191.23,1528693200000,191.97,190.21,191.35,18308460
237,192.28,1528779600000,192.611,191.15,191.385,16911141
238,190.7,1528866000000,192.88,190.44,192.42,21638393
239,190.8,1528952400000,191.57,190.22,191.55,21610074
240,188.84,1529038800000,190.16,188.26,190.03,61719160
241,188.74,1529298000000,189.22,187.2,187.88,18484865
242,185.69,1529384400000,186.33,183.45,185.14,33578455
243,186.5,1529470800000,187.2,185.73,186.35,20628701
244,185.46,1529557200000,188.35,184.94,187.25,25711898
245,184.92,1529643600000,186.15,184.7,186.12,27200447
246,182.17,1529902800000,184.92,180.73,183.4,31663096
247,184.43,1529989200000,186.53,182.54,182.99,24569201
248,184.16,1530075600000,187.28,184.03,185.2278,25285328
249,185.5,1530162000000,186.21,183.8,184.1,17365235
250,185.11,1530248400000,187.19,182.91,186.29,22737666
251,187.18,1530507600000,187.3,183.42,183.82,17731343
252,183.92,1530594000000,187.95,183.54,187.79,13954806
253,185.4,1530766800000,186.41,184.28,185.26,16604248
254,187.97,1530853200000,188.434,185.2,185.42,17485245
255,190.58,1531112400000,190.68,189.3,189.5,19756634
256,190.35,1531198800000,191.28,190.1801,190.71,15939149
257,187.88,1531285200000,189.7799,187.61,188.5,18831470
258,191.03,1531371600000,191.41,189.31,189.53,18041131
259,191.33,1531458000000,191.84,190.9,191.08,12519792
260,190.91,1531717200000,192.65,190.415,191.52,15043110
261,191.45,1531803600000,191.87,189.2,189.75,15534523
262,190.4,1531890000000,191.8,189.93,191.78,16393381
263,191.88,1531976400000,192.55,189.69,189.69,20286752
264,191.44,1532062800000,192.43,190.17,191.78,20706042
265,191.61,1532322000000,191.96,189.56,190.68,15989365
266,193.0,1532408400000,193.6601,192.05,192.45,18697898
267,194.82,1532494800000,194.85,192.43,193.0602,16826483
268,194.21,1532581200000,195.96,193.61,194.61,19075964
269,190.98,1532667600000,195.19,190.1,194.99,24023972
270,189.91,1532926800000,192.2,189.07,191.9,21029535
271,190.29,1533013200000,192.14,189.34,190.3,39373038
272,201.5,1533099600000,201.76,197.31,199.13,67935716
273,207.39,1533186000000,208.38,200.35,200.58,62404012
274,207.99,1533272400000,208.74,205.4803,207.03,33447396
275,209.07,1533531600000,209.25,207.07,208.0,25425387
276,207.11,1533618000000,209.5,206.76,209.32,25587387
277,207.25,1533704400000,207.81,204.52,206.05,22525487
